,Unnamed: 0,neg_word,pos_word,hyphen_word,negative_affix,tokenizer,neg_bytes,neg_correct,soft_neg_correct,pos_bytes,pos_correct,soft_pos_correct,hyphen_bytes,hyphen_correct,soft_hyphen_correct,tokenizer_type,Predict,NegMorph
7362,7362,unostentatious,ostentatious,un-ostentatious,un,cl100k_base,"['un', 'ost', 'ent', 'at', 'ious']",Correct,Correct,"['ost', 'ent', 'at', 'ious']",Incorrect,Incorrect,"['un', '-', 'ost', 'ent', 'at', 'ious']",Correct,Correct,byte_level_bpe,0,Correct
7372,7372,inner,outer,in-ner,in,cl100k_base,['inner'],Not segmented,Correct,['outer'],Not segmented,Not segmented,"['in', '-', 'ner']",Correct,Correct,byte_level_bpe,1,Under-segmented
7382,7382,unowned,owned,un-owned,un,cl100k_base,"['un', 'owned']",Correct,Correct,['owned'],Not segmented,Not segmented,"['un', '-owned']",Correct,Correct,byte_level_bpe,0,Correct
7392,7392,unpackaged,packaged,un-packaged,un,cl100k_base,"['unpack', 'aged']",Incorrect,Correct,"['pack', 'aged']",Incorrect,Incorrect,"['un', '-pack', 'aged']",Correct,Correct,byte_level_bpe,0,Under-segmented
7402,7402,unpaid,paid,un-paid,un,cl100k_base,"['un', 'paid']",Correct,Correct,['paid'],Not segmented,Not segmented,"['un', '-paid']",Correct,Correct,byte_level_bpe,0,Correct
7412,7412,painless,painful,pain-less,less,cl100k_base,"['p', 'ainless']",Incorrect,Correct,"['pain', 'ful']",Incorrect,Incorrect,"['pain', '-less']",Incorrect,Correct,byte_level_bpe,0,Under-segmented
7422,7422,unpaintable,paintable,un-paintable,un,cl100k_base,"['un', 'paint', 'able']",Correct,Correct,"['paint', 'able']",Incorrect,Incorrect,"['un', '-p', 'aint', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7432,7432,unpainted,painted,un-painted,un,cl100k_base,"['un', 'p', 'ainted']",Correct,Correct,"['p', 'ainted']",Incorrect,Incorrect,"['un', '-p', 'ainted']",Correct,Correct,byte_level_bpe,0,Correct
7442,7442,unpalatable,palatable,un-palatable,un,cl100k_base,"['un', 'pal', 'atable']",Correct,Correct,"['pal', 'atable']",Incorrect,Incorrect,"['un', '-p', 'al', 'atable']",Correct,Correct,byte_level_bpe,0,Correct
7452,7452,impalpable,palpable,im-palpable,im,cl100k_base,"['imp', 'al', 'p', 'able']",Incorrect,Correct,"['pal', 'p', 'able']",Incorrect,Incorrect,"['im', '-p', 'al', 'p', 'able']",Correct,Correct,byte_level_bpe,0,Under-segmented
7462,7462,unpardonable,pardonable,un-pardonable,un,cl100k_base,"['un', 'p', 'ardon', 'able']",Correct,Correct,"['p', 'ardon', 'able']",Incorrect,Incorrect,"['un', '-p', 'ardon', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7472,7472,unparented,parented,un-parented,un,cl100k_base,"['un', 'parent', 'ed']",Correct,Correct,"['parent', 'ed']",Incorrect,Incorrect,"['un', '-parent', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
7482,7482,impartial,partial,im-partial,im,cl100k_base,"['im', 'partial']",Correct,Correct,['partial'],Not segmented,Not segmented,"['im', '-p', 'artial']",Correct,Correct,byte_level_bpe,0,Correct
7492,7492,nonparticulate,particulate,non-particulate,non,cl100k_base,"['non', 'part', 'ic', 'ulate']",Correct,Correct,"['part', 'ic', 'ulate']",Incorrect,Incorrect,"['non', '-part', 'ic', 'ulate']",Correct,Correct,byte_level_bpe,0,Correct
7502,7502,impassable,passable,im-passable,im,cl100k_base,"['im', 'pass', 'able']",Correct,Correct,"['pass', 'able']",Incorrect,Incorrect,"['im', '-pass', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7512,7512,nonpasserine,passerine,non-passerine,non,cl100k_base,"['non', 'pass', 'er', 'ine']",Correct,Correct,"['pass', 'er', 'ine']",Incorrect,Incorrect,"['non', '-p', 'asser', 'ine']",Correct,Correct,byte_level_bpe,0,Correct
7522,7522,passionless,passionate,passion-less,less,cl100k_base,"['pass', 'ion', 'less']",Correct,Correct,"['pass', 'ionate']",Incorrect,Incorrect,"['pass', 'ion', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
7532,7532,impatient,patient,im-patient,im,cl100k_base,"['im', 'patient']",Correct,Correct,['patient'],Not segmented,Not segmented,"['im', '-p', 'atient']",Correct,Correct,byte_level_bpe,0,Correct
7542,7542,unpatriotic,patriotic,un-patriotic,un,cl100k_base,"['un', 'p', 'atri', 'otic']",Correct,Correct,"['p', 'atri', 'otic']",Incorrect,Incorrect,"['un', '-p', 'atri', 'otic']",Correct,Correct,byte_level_bpe,0,Correct
7552,7552,unpatronized,patronized,un-patronized,un,cl100k_base,"['un', 'pat', 'ron', 'ized']",Correct,Correct,"['pat', 'ron', 'ized']",Incorrect,Incorrect,"['un', '-p', 'atron', 'ized']",Correct,Correct,byte_level_bpe,0,Correct
7562,7562,unpaved,paved,un-paved,un,cl100k_base,"['un', 'p', 'aved']",Correct,Correct,"['p', 'aved']",Incorrect,Incorrect,"['un', '-p', 'aved']",Correct,Correct,byte_level_bpe,0,Correct
7572,7572,unpeaceful,peaceful,un-peaceful,un,cl100k_base,"['un', 'peace', 'ful']",Correct,Correct,"['peace', 'ful']",Incorrect,Incorrect,"['un', '-', 'peace', 'ful']",Correct,Correct,byte_level_bpe,0,Correct
7582,7582,impenetrable,penetrable,im-penetrable,im,cl100k_base,"['im', 'pen', 'etr', 'able']",Correct,Correct,"['pen', 'etr', 'able']",Incorrect,Incorrect,"['im', '-p', 'en', 'etr', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7592,7592,impenitent,penitent,im-penitent,im,cl100k_base,"['im', 'pen', 'it', 'ent']",Correct,Correct,"['pen', 'it', 'ent']",Incorrect,Incorrect,"['im', '-p', 'en', 'it', 'ent']",Correct,Correct,byte_level_bpe,0,Correct
7602,7602,imperceptible,perceptible,im-perceptible,im,cl100k_base,"['im', 'per', 'cept', 'ible']",Correct,Correct,"['per', 'cept', 'ible']",Incorrect,Incorrect,"['im', '-per', 'cept', 'ible']",Correct,Correct,byte_level_bpe,0,Correct
7612,7612,unperceptive,perceptive,un-perceptive,un,cl100k_base,"['un', 'per', 'ceptive']",Correct,Correct,"['per', 'ceptive']",Incorrect,Incorrect,"['un', '-per', 'ceptive']",Correct,Correct,byte_level_bpe,0,Correct
7622,7622,imperfect,perfect,im-perfect,im,cl100k_base,"['im', 'perfect']",Correct,Correct,['perfect'],Not segmented,Not segmented,"['im', '-per', 'fect']",Correct,Correct,byte_level_bpe,0,Correct
7632,7632,aperiodic,periodic,a-periodic,a,cl100k_base,"['aper', 'iod', 'ic']",Incorrect,Correct,"['period', 'ic']",Incorrect,Incorrect,"['a', '-period', 'ic']",Correct,Correct,byte_level_bpe,0,Under-segmented
7642,7642,imperishable,perishable,im-perishable,im,cl100k_base,"['im', 'per', 'ish', 'able']",Correct,Correct,"['per', 'ish', 'able']",Incorrect,Incorrect,"['im', '-per', 'ish', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7652,7652,impermanent,permanent,im-permanent,im,cl100k_base,"['im', 'permanent']",Correct,Correct,['permanent'],Not segmented,Not segmented,"['im', '-per', 'manent']",Correct,Correct,byte_level_bpe,0,Correct
7662,7662,impermeable,permeable,im-permeable,im,cl100k_base,"['im', 'per', 'me', 'able']",Correct,Correct,"['per', 'me', 'able']",Incorrect,Incorrect,"['im', '-per', 'me', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7672,7672,impermissible,permissible,im-permissible,im,cl100k_base,"['im', 'per', 'missible']",Correct,Correct,"['per', 'missible']",Incorrect,Incorrect,"['im', '-per', 'missible']",Correct,Correct,byte_level_bpe,0,Correct
7682,7682,unpermissive,permissive,un-permissive,un,cl100k_base,"['un', 'per', 'missive']",Correct,Correct,"['per', 'missive']",Incorrect,Incorrect,"['un', '-per', 'missive']",Correct,Correct,byte_level_bpe,0,Correct
7692,7692,unperplexed,perplexed,un-perplexed,un,cl100k_base,"['un', 'per', 'plex', 'ed']",Correct,Correct,"['per', 'plex', 'ed']",Incorrect,Incorrect,"['un', '-per', 'plex', 'ed']",Correct,Correct,byte_level_bpe,0,Correct
7702,7702,impersonal,personal,im-personal,im,cl100k_base,"['imp', 'erson', 'al']",Incorrect,Correct,['personal'],Not segmented,Not segmented,"['im', '-person', 'al']",Correct,Correct,byte_level_bpe,0,Under-segmented
7712,7712,dissuasive,persuasive,dis-suasive,dis,cl100k_base,"['d', 'iss', 'u', 'asive']",Incorrect,Incorrect,"['pers', 'u', 'asive']",Incorrect,Incorrect,"['dis', '-su', 'asive']",Correct,Correct,byte_level_bpe,0,Over-segmented
7722,7722,impervious,pervious,im-pervious,im,cl100k_base,"['imp', 'erv', 'ious']",Incorrect,Correct,"['p', 'erv', 'ious']",Incorrect,Incorrect,"['im', '-p', 'erv', 'ious']",Correct,Correct,byte_level_bpe,0,Under-segmented
7732,7732,apetalous,petalous,a-petalous,a,cl100k_base,"['ap', 'etal', 'ous']",Incorrect,Correct,"['pet', 'alous']",Incorrect,Correct,"['a', '-p', 'etal', 'ous']",Correct,Correct,byte_level_bpe,0,Under-segmented
7742,7742,nonphotosynthetic,photosynthetic,non-photosynthetic,non,cl100k_base,"['non', 'photos', 'yn', 'thetic']",Correct,Correct,"['photos', 'yn', 'thetic']",Incorrect,Incorrect,"['non', '-', 'photos', 'yn', 'thetic']",Correct,Correct,byte_level_bpe,0,Correct
7752,7752,impious,pious,im-pious,im,cl100k_base,"['imp', 'ious']",Incorrect,Correct,"['p', 'ious']",Incorrect,Incorrect,"['im', '-p', 'ious']",Correct,Correct,byte_level_bpe,0,Under-segmented
7762,7762,implacable,placable,im-placable,im,cl100k_base,"['impl', 'ac', 'able']",Incorrect,Correct,"['pl', 'ac', 'able']",Incorrect,Incorrect,"['im', '-pl', 'ac', 'able']",Correct,Correct,byte_level_bpe,0,Under-segmented
7772,7772,aplacental,placental,a-placental,a,cl100k_base,"['apl', 'ac', 'ental']",Incorrect,Correct,"['pl', 'ac', 'ental']",Incorrect,Correct,"['a', '-pl', 'ac', 'ental']",Correct,Correct,byte_level_bpe,0,Under-segmented
7782,7782,unplanned,planned,un-planned,un,cl100k_base,"['un', 'pl', 'anned']",Correct,Correct,"['pl', 'anned']",Incorrect,Incorrect,"['un', '-pl', 'anned']",Correct,Correct,byte_level_bpe,0,Correct
7792,7792,unplanted,planted,un-planted,un,cl100k_base,"['un', 'pl', 'anted']",Correct,Correct,"['pl', 'anted']",Incorrect,Incorrect,"['un', '-pl', 'anted']",Correct,Correct,byte_level_bpe,0,Correct
7802,7802,implausible,plausible,im-plausible,im,cl100k_base,"['impl', 'ausible']",Incorrect,Correct,"['pl', 'ausible']",Incorrect,Incorrect,"['im', '-pl', 'ausible']",Correct,Correct,byte_level_bpe,0,Under-segmented
7812,7812,unplayable,playable,un-playable,un,cl100k_base,"['un', 'play', 'able']",Correct,Correct,"['play', 'able']",Incorrect,Incorrect,"['un', '-play', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7822,7822,unplayful,playful,un-playful,un,cl100k_base,"['un', 'play', 'ful']",Correct,Correct,"['play', 'ful']",Incorrect,Incorrect,"['un', '-play', 'ful']",Correct,Correct,byte_level_bpe,0,Correct
7832,7832,unpleasant,pleasant,un-pleasant,un,cl100k_base,"['un', 'pleasant']",Correct,Correct,['pleasant'],Not segmented,Not segmented,"['un', '-', 'pleasant']",Correct,Correct,byte_level_bpe,0,Correct
7842,7842,displeased,pleased,dis-pleased,dis,cl100k_base,"['dis', 'ple', 'ased']",Correct,Correct,"['ple', 'ased']",Incorrect,Incorrect,"['dis', '-', 'ple', 'ased']",Correct,Correct,byte_level_bpe,0,Correct
7852,7852,displeasing,pleasing,dis-pleasing,dis,cl100k_base,"['dis', 'ple', 'asing']",Correct,Correct,"['ple', 'asing']",Incorrect,Incorrect,"['dis', '-', 'ple', 'asing']",Correct,Correct,byte_level_bpe,0,Correct
7862,7862,unplowed,plowed,un-plowed,un,cl100k_base,"['un', 'pl', 'owed']",Correct,Correct,"['pl', 'owed']",Incorrect,Incorrect,"['un', '-pl', 'owed']",Correct,Correct,byte_level_bpe,0,Correct
7872,7872,pointless,pointed,point-less,less,cl100k_base,"['point', 'less']",Correct,Correct,"['point', 'ed']",Incorrect,Incorrect,"['point', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
7882,7882,unpolished,polished,un-polished,un,cl100k_base,"['un', 'pol', 'ished']",Correct,Correct,"['pol', 'ished']",Incorrect,Incorrect,"['un', '-pol', 'ished']",Correct,Correct,byte_level_bpe,0,Correct
7892,7892,impolite,polite,im-polite,im,cl100k_base,"['imp', 'ol', 'ite']",Incorrect,Correct,"['pol', 'ite']",Incorrect,Incorrect,"['im', '-pol', 'ite']",Correct,Correct,byte_level_bpe,0,Under-segmented
7902,7902,impolitic,politic,im-politic,im,cl100k_base,"['imp', 'ol', 'itic']",Incorrect,Correct,"['pol', 'itic']",Incorrect,Incorrect,"['im', '-pol', 'itic']",Correct,Correct,byte_level_bpe,0,Under-segmented
7912,7912,nonpolitical,political,non-political,non,cl100k_base,"['non', 'political']",Correct,Correct,['political'],Not segmented,Not segmented,"['non', '-pol', 'itical']",Correct,Correct,byte_level_bpe,0,Correct
7922,7922,imponderable,ponderable,im-ponderable,im,cl100k_base,"['im', 'ponder', 'able']",Correct,Correct,"['ponder', 'able']",Incorrect,Incorrect,"['im', '-', 'ponder', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7932,7932,unpopular,popular,un-popular,un,cl100k_base,"['un', 'popular']",Correct,Correct,['popular'],Not segmented,Not segmented,"['un', '-pop', 'ular']",Correct,Correct,byte_level_bpe,0,Correct
7942,7942,nonporous,porous,non-porous,non,cl100k_base,"['non', 'por', 'ous']",Correct,Correct,"['por', 'ous']",Incorrect,Incorrect,"['non', '-p', 'orous']",Correct,Correct,byte_level_bpe,0,Correct
7952,7952,unportable,portable,un-portable,un,cl100k_base,"['un', 'port', 'able']",Correct,Correct,"['port', 'able']",Incorrect,Incorrect,"['un', '-port', 'able']",Correct,Correct,byte_level_bpe,0,Correct
7962,7962,unposed,posed,un-posed,un,cl100k_base,"['un', 'posed']",Correct,Correct,['posed'],Not segmented,Not segmented,"['un', '-', 'posed']",Correct,Correct,byte_level_bpe,0,Correct
7972,7972,impossible,possible,im-possible,im,cl100k_base,"['im', 'possible']",Correct,Correct,['possible'],Not segmented,Not segmented,"['im', '-', 'possible']",Correct,Correct,byte_level_bpe,0,Correct
7982,7982,impotent,potent,im-potent,im,cl100k_base,"['imp', 'otent']",Incorrect,Correct,"['pot', 'ent']",Incorrect,Incorrect,"['im', '-p', 'otent']",Correct,Correct,byte_level_bpe,0,Under-segmented
7992,7992,unpotted,potted,un-potted,un,cl100k_base,"['un', 'p', 'otted']",Correct,Correct,"['p', 'otted']",Incorrect,Incorrect,"['un', '-p', 'otted']",Correct,Correct,byte_level_bpe,0,Correct
8002,8002,unpowered,powered,un-powered,un,cl100k_base,"['un', 'powered']",Correct,Correct,['powered'],Not segmented,Not segmented,"['un', '-powered']",Correct,Correct,byte_level_bpe,0,Correct
8012,8012,powerless,powerful,power-less,less,cl100k_base,"['power', 'less']",Correct,Correct,"['power', 'ful']",Incorrect,Incorrect,"['power', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
8022,8022,impractical,practical,im-practical,im,cl100k_base,"['im', 'pr', 'actical']",Correct,Correct,"['pr', 'actical']",Incorrect,Incorrect,"['im', '-pr', 'actical']",Correct,Correct,byte_level_bpe,0,Correct
8032,8032,unprecedented,precedented,un-precedented,un,cl100k_base,"['un', 'precedented']",Correct,Correct,['precedented'],Not segmented,Not segmented,"['un', '-pre', 'ced', 'ented']",Correct,Correct,byte_level_bpe,0,Correct
8042,8042,imprecise,precise,im-precise,im,cl100k_base,"['im', 'prec', 'ise']",Correct,Correct,"['prec', 'ise']",Incorrect,Incorrect,"['im', '-', 'prec', 'ise']",Correct,Correct,byte_level_bpe,0,Correct
8052,8052,unpredictable,predictable,un-predictable,un,cl100k_base,"['un', 'predict', 'able']",Correct,Correct,"['predict', 'able']",Incorrect,Incorrect,"['un', '-p', 'redict', 'able']",Correct,Correct,byte_level_bpe,0,Correct
8062,8062,nonpregnant,pregnant,non-pregnant,non,cl100k_base,"['non', 'preg', 'nant']",Correct,Correct,"['preg', 'nant']",Incorrect,Incorrect,"['non', '-p', 'regn', 'ant']",Correct,Correct,byte_level_bpe,0,Correct
8072,8072,nonprehensile,prehensile,non-prehensile,non,cl100k_base,"['non', 'preh', 'ens', 'ile']",Correct,Correct,"['preh', 'ens', 'ile']",Incorrect,Incorrect,"['non', '-pre', 'h', 'ens', 'ile']",Correct,Correct,byte_level_bpe,0,Correct
8082,8082,unprejudiced,prejudiced,un-prejudiced,un,cl100k_base,"['un', 'pre', 'jud', 'iced']",Correct,Correct,"['pre', 'jud', 'iced']",Incorrect,Incorrect,"['un', '-pre', 'jud', 'iced']",Correct,Correct,byte_level_bpe,0,Correct
8092,8092,unpremeditated,premeditated,un-premeditated,un,cl100k_base,"['un', 'pre', 'med', 'itated']",Correct,Correct,"['pre', 'med', 'itated']",Incorrect,Incorrect,"['un', '-pre', 'med', 'itated']",Correct,Correct,byte_level_bpe,0,Correct
8102,8102,unprepared,prepared,un-prepared,un,cl100k_base,"['un', 'prepared']",Correct,Correct,['prepared'],Not segmented,Not segmented,"['un', '-pre', 'pared']",Correct,Correct,byte_level_bpe,0,Correct
8112,8112,nonprescription,prescription,non-prescription,non,cl100k_base,"['non', 'pres', 'cription']",Correct,Correct,"['pres', 'cription']",Incorrect,Incorrect,"['non', '-pres', 'cription']",Correct,Correct,byte_level_bpe,0,Correct
8122,8122,unpresidential,presidential,un-presidential,un,cl100k_base,"['un', 'pres', 'idential']",Correct,Correct,"['pres', 'idential']",Incorrect,Incorrect,"['un', '-pres', 'idential']",Correct,Correct,byte_level_bpe,0,Correct
8132,8132,unpretentious,pretentious,un-pretentious,un,cl100k_base,"['un', 'pret', 'entious']",Correct,Correct,"['pret', 'entious']",Incorrect,Incorrect,"['un', '-', 'pret', 'entious']",Correct,Correct,byte_level_bpe,0,Correct
8142,8142,unpreventable,preventable,un-preventable,un,cl100k_base,"['un', 'prevent', 'able']",Correct,Correct,"['prevent', 'able']",Incorrect,Incorrect,"['un', '-pre', 'vent', 'able']",Correct,Correct,byte_level_bpe,0,Correct
8152,8152,unpriestly,priestly,un-priestly,un,cl100k_base,"['un', 'pri', 'est', 'ly']",Correct,Correct,"['pri', 'est', 'ly']",Incorrect,Incorrect,"['un', '-p', 'ri', 'est', 'ly']",Correct,Correct,byte_level_bpe,0,Correct
8162,8162,unprincipled,principled,un-principled,un,cl100k_base,"['un', 'pr', 'incip', 'led']",Correct,Correct,"['pr', 'incip', 'led']",Incorrect,Incorrect,"['un', '-pr', 'incip', 'led']",Correct,Correct,byte_level_bpe,0,Correct
8172,8172,unprintable,printable,un-printable,un,cl100k_base,"['un', 'print', 'able']",Correct,Correct,"['print', 'able']",Incorrect,Incorrect,"['un', '-print', 'able']",Correct,Correct,byte_level_bpe,0,Correct
8182,8182,underprivileged,privileged,under-privileged,under,cl100k_base,"['under', 'privileged']",Correct,Correct,['privileged'],Not segmented,Not segmented,"['under', '-', 'privileged']",Correct,Correct,byte_level_bpe,0,Correct
8192,8192,improbable,probable,im-probable,im,cl100k_base,"['im', 'prob', 'able']",Correct,Correct,"['prob', 'able']",Incorrect,Incorrect,"['im', '-pro', 'bable']",Correct,Correct,byte_level_bpe,0,Correct
8202,8202,unprocessed,processed,un-processed,un,cl100k_base,"['un', 'processed']",Correct,Correct,['processed'],Not segmented,Not segmented,"['un', '-', 'processed']",Correct,Correct,byte_level_bpe,0,Correct
8212,8212,unproductive,productive,un-productive,un,cl100k_base,"['un', 'productive']",Correct,Correct,['productive'],Not segmented,Not segmented,"['un', '-product', 'ive']",Correct,Correct,byte_level_bpe,0,Correct
8222,8222,nonprofessional,professional,non-professional,non,cl100k_base,"['non', 'professional']",Correct,Correct,['professional'],Not segmented,Not segmented,"['non', '-prof', 'essional']",Correct,Correct,byte_level_bpe,0,Correct
8232,8232,unprofessional,professional,un-professional,un,cl100k_base,"['un', 'professional']",Correct,Correct,['professional'],Not segmented,Not segmented,"['un', '-prof', 'essional']",Correct,Correct,byte_level_bpe,0,Correct
8242,8242,unprofitable,profitable,un-profitable,un,cl100k_base,"['un', 'profit', 'able']",Correct,Correct,"['profit', 'able']",Incorrect,Incorrect,"['un', '-profit', 'able']",Correct,Correct,byte_level_bpe,0,Correct
8252,8252,unpronounceable,pronounceable,un-pronounceable,un,cl100k_base,"['un', 'pron', 'ounce', 'able']",Correct,Correct,"['pron', 'ounce', 'able']",Incorrect,Correct,"['un', '-pr', 'on', 'ounce', 'able']",Correct,Correct,byte_level_bpe,0,Correct
8262,8262,improper,proper,im-proper,im,cl100k_base,"['im', 'proper']",Correct,Correct,['proper'],Not segmented,Not segmented,"['im', '-pro', 'per']",Correct,Correct,byte_level_bpe,0,Correct
8272,8272,unprophetic,prophetic,un-prophetic,un,cl100k_base,"['un', 'pro', 'ph', 'etic']",Correct,Correct,"['pro', 'ph', 'etic']",Incorrect,Incorrect,"['un', '-pro', 'ph', 'etic']",Correct,Correct,byte_level_bpe,0,Correct
8282,8282,unpropitious,propitious,un-propitious,un,cl100k_base,"['un', 'prop', 'itious']",Correct,Correct,"['prop', 'itious']",Incorrect,Incorrect,"['un', '-prop', 'itious']",Correct,Correct,byte_level_bpe,0,Correct
8292,8292,disproportionate,proportionate,dis-proportionate,dis,cl100k_base,"['dis', 'pro', 'portion', 'ate']",Correct,Correct,"['pro', 'portion', 'ate']",Incorrect,Incorrect,"['dis', '-pro', 'portion', 'ate']",Correct,Correct,byte_level_bpe,0,Correct
8302,8302,unprotected,protected,un-protected,un,cl100k_base,"['un', 'protected']",Correct,Correct,['protected'],Not segmented,Not segmented,"['un', '-', 'protected']",Correct,Correct,byte_level_bpe,0,Correct
8312,8312,unprotective,protective,un-protective,un,cl100k_base,"['un', 'protect', 'ive']",Correct,Correct,"['protect', 'ive']",Incorrect,Incorrect,"['un', '-', 'protect', 'ive']",Correct,Correct,byte_level_bpe,0,Correct
8322,8322,unproved,proved,un-proved,un,cl100k_base,"['un', 'proved']",Correct,Correct,['proved'],Not segmented,Not segmented,"['un', '-pro', 'ved']",Correct,Correct,byte_level_bpe,0,Correct
8332,8332,improvident,provident,im-provident,im,cl100k_base,"['im', 'pro', 'vid', 'ent']",Correct,Correct,"['pro', 'vid', 'ent']",Incorrect,Incorrect,"['im', '-pro', 'vid', 'ent']",Correct,Correct,byte_level_bpe,0,Correct
8342,8342,unprovocative,provocative,un-provocative,un,cl100k_base,"['un', 'prov', 'oc', 'ative']",Correct,Correct,"['prov', 'oc', 'ative']",Incorrect,Incorrect,"['un', '-pro', 'v', 'oc', 'ative']",Correct,Correct,byte_level_bpe,0,Correct
8352,8352,imprudent,prudent,im-prudent,im,cl100k_base,"['im', 'pr', 'udent']",Correct,Correct,"['pr', 'udent']",Incorrect,Incorrect,"['im', '-pr', 'udent']",Correct,Correct,byte_level_bpe,0,Correct
8362,8362,nonpsychoactive,psychoactive,non-psychoactive,non,cl100k_base,"['non', 'psy', 'cho', 'active']",Correct,Correct,"['psy', 'cho', 'active']",Incorrect,Incorrect,"['non', '-', 'psy', 'cho', 'active']",Correct,Correct,byte_level_bpe,0,Correct
8372,8372,unpublishable,publishable,un-publishable,un,cl100k_base,"['un', 'publish', 'able']",Correct,Correct,"['publish', 'able']",Incorrect,Incorrect,"['un', '-publish', 'able']",Correct,Correct,byte_level_bpe,0,Correct
8382,8382,unpublished,published,un-published,un,cl100k_base,"['un', 'published']",Correct,Correct,['published'],Not segmented,Not segmented,"['un', '-p', 'ublished']",Correct,Correct,byte_level_bpe,0,Correct
8392,8392,unpunctual,punctual,un-punctual,un,cl100k_base,"['un', 'p', 'unct', 'ual']",Correct,Correct,"['p', 'unct', 'ual']",Incorrect,Correct,"['un', '-p', 'unct', 'ual']",Correct,Correct,byte_level_bpe,0,Correct
8402,8402,punctureless,puncturable,puncture-less,less,cl100k_base,"['p', 'uncture', 'less']",Correct,Correct,"['p', 'unct', 'urable']",Incorrect,Incorrect,"['p', 'uncture', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
8412,8412,unpunished,punished,un-punished,un,cl100k_base,"['un', 'pun', 'ished']",Correct,Correct,"['pun', 'ished']",Incorrect,Correct,"['un', '-p', 'un', 'ished']",Correct,Correct,byte_level_bpe,0,Correct
8422,8422,impure,pure,im-pure,im,cl100k_base,"['imp', 'ure']",Incorrect,Correct,['pure'],Not segmented,Not segmented,"['im', '-p', 'ure']",Correct,Correct,byte_level_bpe,0,Under-segmented
8432,8432,purposeless,purposeful,purpose-less,less,cl100k_base,"['purpose', 'less']",Correct,Correct,"['purpose', 'ful']",Incorrect,Incorrect,"['purpose', '-less']",Incorrect,Correct,byte_level_bpe,0,Correct
8442,8442,antipyretic,pyretic,anti-pyretic,anti,cl100k_base,"['ant', 'ipy', 'ret', 'ic']",Incorrect,Incorrect,"['py', 'ret', 'ic']",Incorrect,Incorrect,"['anti', '-p', 'y', 'ret', 'ic']",Correct,Correct,byte_level_bpe,1,Over-segmented
8452,8452,unqualified,qualified,un-qualified,un,cl100k_base,"['un', 'qualified']",Correct,Correct,['qualified'],Not segmented,Not segmented,"['un', '-', 'qualified']",Correct,Correct,byte_level_bpe,0,Correct
8462,8462,unquestionable,questionable,un-questionable,un,cl100k_base,"['un', 'question', 'able']",Correct,Correct,"['question', 'able']",Incorrect,Incorrect,"['un', '-question', 'able']",Correct,Correct,byte_level_bpe,0,Correct
8472,8472,unquiet,quiet,un-quiet,un,cl100k_base,"['un', 'quiet']",Correct,Correct,['quiet'],Not segmented,Not segmented,"['un', '-', 'quiet']",Correct,Correct,byte_level_bpe,0,Correct
8482,8482,unquotable,quotable,un-quotable,un,cl100k_base,"['un', 'quot', 'able']",Correct,Correct,"['quot', 'able']",Incorrect,Incorrect,"['un', '-', 'quot', 'able']",Correct,Correct,byte_level_bpe,0,Correct
8492,8492,nonracial,racial,non-racial,non,cl100k_base,"['non', 'racial']",Correct,Correct,['racial'],Not segmented,Not segmented,"['non', '-r', 'acial']",Correct,Correct,byte_level_bpe,0,Correct
8502,8502,nonradioactive,radioactive,non-radioactive,non,cl100k_base,"['non', 'radio', 'active']",Correct,Correct,"['radio', 'active']",Incorrect,Incorrect,"['non', '-radio', 'active']",Correct,Correct,byte_level_bpe,0,Correct
8512,8512,nonrandom,random,non-random,non,cl100k_base,"['non', 'random']",Correct,Correct,['random'],Not segmented,Not segmented,"['non', '-random']",Correct,Correct,byte_level_bpe,0,Correct
8522,8522,irrational,rational,ir-rational,ir,cl100k_base,"['ir', 'r', 'ational']",Correct,Correct,"['r', 'ational']",Incorrect,Incorrect,"['ir', '-r', 'ational']",Correct,Correct,byte_level_bpe,0,Correct
8532,8532,unreactive,reactive,un-reactive,un,cl100k_base,"['un', 'react', 'ive']",Correct,Correct,"['react', 'ive']",Incorrect,Incorrect,"['un', '-react', 'ive']",Correct,Correct,byte_level_bpe,0,Correct
8542,8542,unready,ready,un-ready,un,cl100k_base,"['un', 'ready']",Correct,Correct,['ready'],Not segmented,Not segmented,"['un', '-ready']",Correct,Correct,byte_level_bpe,0,Correct
8552,8552,unreal,real,un-real,un,cl100k_base,"['un', 'real']",Correct,Correct,['real'],Not segmented,Not segmented,"['un', '-real']",Correct,Correct,byte_level_bpe,0,Correct
8562,8562,unrealistic,realistic,un-realistic,un,cl100k_base,"['un', 'real', 'istic']",Correct,Correct,"['real', 'istic']",Incorrect,Incorrect,"['un', '-real', 'istic']",Correct,Correct,byte_level_bpe,0,Correct
