word,affix,label,hyphen
regulated,-,1,-
uncharacteristic,un,0,un-characteristic
restricted,-,1,-
unassisted,un,0,un-assisted
unguiculate,un,0,un-guiculate
noncritical,non,0,non-critical
unwieldy,un,0,un-wieldy
unhappiness,un,0,un-happiness
unpreventable,un,0,un-preventable
qualify,-,1,-
merciful,-,1,-
improvidence,im,0,im-providence
productive,-,1,-
testate,-,1,-
dystopia,dys,0,dys-topia
inauspiciously,in,0,in-auspiciously
perfectly,-,1,-
unbuckle,un,0,un-buckle
unintelligible,un,0,un-intelligible
disintegrative,dis,0,dis-integrative
expectedness,-,1,-
insincerity,in,0,in-sincerity
lipped,-,1,-
spiritless,less,0,spirit-less
unpainted,un,0,un-painted
improbability,im,0,im-probability
unsuccessful,un,0,un-successful
unplanned,un,0,un-planned
atonality,a,0,a-tonality
interesting,-,1,-
overshoot,-,1,-
limbless,less,0,limb-less
interdepartmental,-,1,-
indecent,in,0,in-decent
belted,-,1,-
unmusically,un,0,un-musically
gloved,-,1,-
gathered,-,1,-
uncastrated,un,0,un-castrated
disembarkation,dis,0,dis-embarkation
inefficaciously,in,0,in-efficaciously
unfinished,un,0,un-finished
crescendo,-,1,-
unexchangeability,un,0,un-exchangeability
inadequacy,in,0,in-adequacy
undershoot,under,0,under-shoot
collapsible,-,1,-
uncharitable,un,0,un-charitable
unstimulating,un,0,un-stimulating
rational,-,1,-
erect,-,1,-
practicality,-,1,-
irremovable,ir,0,ir-removable
nonexistence,non,0,non-existence
inactivate,in,0,in-activate
related,-,1,-
stabilize,-,1,-
disinfect,dis,0,dis-infect
perishable,-,1,-
acceleration,-,1,-
consciousness,-,1,-
disloyalty,dis,0,dis-loyalty
unreceptive,un,0,un-receptive
insufficient,in,0,in-sufficient
nonadhesive,non,0,non-adhesive
underprivileged,under,0,under-privileged
unnecessary,un,0,un-necessary
sent,-,1,-
commissioned,-,1,-
definite,-,1,-
decertify,de,0,de-certify
unsilenced,un,0,un-silenced
criminalise,-,1,-
absorbency,-,1,-
migratory,-,1,-
fallible,-,1,-
integrated,-,1,-
available,-,1,-
untroubled,un,0,un-troubled
controversially,-,1,-
appreciatively,-,1,-
helpfully,-,1,-
partial,-,1,-
agnostic,a,0,a-gnostic
inefficacy,in,0,in-efficacy
excitable,-,1,-
persuasive,-,1,-
consequentially,-,1,-
malleability,-,1,-
unreliably,un,0,un-reliably
lawlessly,less,0,law-lessly
personal,-,1,-
invisible,in,0,in-visible
unmotivated,un,0,un-motivated
unpalatable,un,0,un-palatable
efficaciously,-,1,-
diplomatic,-,1,-
inflate,-,1,-
impassable,im,0,im-passable
indirectness,in,0,in-directness
unequivocal,un,0,un-equivocal
uncombed,un,0,un-combed
uncommunicative,un,0,un-communicative
unforgivably,un,0,un-forgivably
extinguishable,-,1,-
imperfect,im,0,im-perfect
cheerfully,-,1,-
illegitimacy,il,0,il-legitimacy
liveried,-,1,-
uninitiate,un,0,un-initiate
assemble,-,1,-
insured,-,1,-
no-go,no,0,no--go
good_fortune,-,1,-
unenforceable,un,0,un-enforceable
inhumane,in,0,in-humane
illegality,il,0,il-legality
unagitated,un,0,un-agitated
unstructured,un,0,un-structured
regularly,-,1,-
unclasp,un,0,un-clasp
perceptible,-,1,-
musical,-,1,-
participation,-,1,-
pretentiously,-,1,-
unmown,un,0,un-mown
logicalness,-,1,-
democratic,-,1,-
bibbed,-,1,-
alterable,-,1,-
uncarpeted,un,0,un-carpeted
market_economy,-,1,-
incongruity,in,0,in-congruity
legitimate,-,1,-
appendaged,-,1,-
outpatient,out,0,out-patient
unconcern,un,0,un-concern
decriminalize,de,0,de-criminalize
unlined,un,0,un-lined
unrhymed,un,0,un-rhymed
unsystematically,un,0,un-systematically
unhygienically,un,0,un-hygienically
impenetrable,im,0,im-penetrable
gutless,less,0,gut-less
hypercatalectic,-,1,-
unfavorableness,un,0,un-favorableness
untruthfulness,un,0,un-truthfulness
noninheritable,non,0,non-inheritable
unmalted,un,0,un-malted
unrepeatable,un,0,un-repeatable
stigmatism,-,1,-
glycerolize,-,1,-
credible,-,1,-
explicitness,-,1,-
unsteady,un,0,un-steady
equivocal,-,1,-
member,-,1,-
acquisitive,-,1,-
clog,-,1,-
intelligently,-,1,-
insectivorous,in,0,in-sectivorous
patiently,-,1,-
unpin,un,0,un-pin
unborn,un,0,un-born
ineffective,in,0,in-effective
demobilization,de,0,de-mobilization
experience,-,1,-
unbanded,un,0,un-banded
nontranslational,non,0,non-translational
reticulate,-,1,-
unrighteously,un,0,un-righteously
unpointedness,un,0,un-pointedness
nonspherical,non,0,non-spherical
like,-,1,-
impatience,im,0,im-patience
myelinated,-,1,-
comfortable,-,1,-
belt,-,1,-
unshod,un,0,un-shod
uncontrolled,un,0,un-controlled
illiberality,il,0,il-liberality
forceful,-,1,-
unsuitably,un,0,un-suitably
immoderately,im,0,im-moderately
noncomprehensively,non,0,non-comprehensively
contentment,-,1,-
impalpability,im,0,im-palpability
adroitly,-,1,-
desegregate,de,0,de-segregate
tasty,-,1,-
unnoticeable,un,0,un-noticeable
privileged,-,1,-
unfaithfulness,un,0,un-faithfulness
disproportion,dis,0,dis-proportion
unwanted,un,0,un-wanted
dehumidify,de,0,de-humidify
favorableness,-,1,-
sociability,-,1,-
animate,-,1,-
documented,-,1,-
disenchant,dis,0,dis-enchant
credulous,-,1,-
painfully,-,1,-
free,-,1,-
nonassociative,non,0,non-associative
fairly,-,1,-
married,-,1,-
corrigible,-,1,-
inability,in,0,in-ability
adorned,-,1,-
stressed,-,1,-
principled,-,1,-
inarticulate,in,0,in-articulate
tangibility,-,1,-
gracelessly,less,0,grace-lessly
bridle,-,1,-
uncrowded,un,0,un-crowded
unofficial,un,0,un-official
wind,-,1,-
patriotically,-,1,-
indistinct,in,0,in-distinct
wheeled,-,1,-
distrust,dis,0,dis-trust
susceptible,-,1,-
mindfulness,-,1,-
inaptitude,in,0,in-aptitude
fit,-,1,-
uncomplimentary,un,0,un-complimentary
catalectic,-,1,-
published,-,1,-
cautiously,-,1,-
effortlessness,less,0,effort-lessness
offensive,-,1,-
repetitive,-,1,-
moral,-,1,-
treated,-,1,-
extended,-,1,-
discharge,dis,0,dis-charge
specialized,-,1,-
hopefully,-,1,-
lighted,-,1,-
security,-,1,-
adsorbent,-,1,-
secured_bond,-,1,-
uncrannied,un,0,un-crannied
dependable,-,1,-
unexhausted,un,0,un-exhausted
earless,less,0,ear-less
regular,-,1,-
insolvency,in,0,in-solvency
unashamedly,un,0,un-ashamedly
ordinariness,-,1,-
elegantly,-,1,-
decentralize,de,0,de-centralize
disqualify,dis,0,dis-qualify
practical,-,1,-
sentimentally,-,1,-
unemotional,un,0,un-emotional
untanned,un,0,un-tanned
overgarment,-,1,-
superiority,-,1,-
unapologetic,un,0,un-apologetic
exciting,-,1,-
disappear,dis,0,dis-appear
decisively,-,1,-
unprincipled,un,0,un-principled
advantageously,-,1,-
inadequately,in,0,in-adequately
polite,-,1,-
maladjusted,mal,0,mal-adjusted
hypertrophied,hyper,0,hyper-trophied
inhumanely,in,0,in-humanely
hygienically,-,1,-
dislodge,dis,0,dis-lodge
unaddressed,un,0,un-addressed
combined,-,1,-
undeclared,un,0,un-declared
flexibly,-,1,-
uncork,un,0,un-cork
surprising,-,1,-
nonintellectual,non,0,non-intellectual
feelingly,-,1,-
framed,-,1,-
cismontane,-,1,-
disarranged,dis,0,dis-arranged
noncompetitively,non,0,non-competitively
compatible,-,1,-
porous,-,1,-
conformism,-,1,-
infertility,in,0,in-fertility
truthfulness,-,1,-
nonmagnetic,non,0,non-magnetic
decriminalise,de,0,de-criminalise
burden,-,1,-
iodinating,-,1,-
unarmored,un,0,un-armored
mined,-,1,-
headed,-,1,-
conventional,-,1,-
powerlessness,less,0,power-lessness
conjunct,-,1,-
commutable,-,1,-
noncivilized,non,0,non-civilized
uninformatively,un,0,un-informatively
ambiguously,-,1,-
unselfish,un,0,un-selfish
centralized,-,1,-
disorderliness,dis,0,dis-orderliness
staple,-,1,-
nonrepetitive,non,0,non-repetitive
unjustly,un,0,un-justly
unconstipated,un,0,un-constipated
unconstitutionally,un,0,un-constitutionally
worldly,-,1,-
removable,-,1,-
alcoholic,-,1,-
nonbearing,non,0,non-bearing
nonprofessional,non,0,non-professional
desensitizing,de,0,de-sensitizing
inflow,-,1,-
ipsilateral,-,1,-
insensitively,in,0,in-sensitively
hyperglycemia,-,1,-
unsound,un,0,un-sound
on-street,-,1,-
gutsy,-,1,-
unanalyzed,un,0,un-analyzed
discontentment,dis,0,dis-contentment
branchless,less,0,branch-less
retractile,-,1,-
hypotonia,hypo,0,hypo-tonia
inoffensively,in,0,in-offensively
impotence,im,0,im-potence
unabridged,un,0,un-abridged
corruptness,-,1,-
unexciting,un,0,un-exciting
suppurative,-,1,-
fluency,-,1,-
unbranded,un,0,un-branded
unadjusted,un,0,un-adjusted
irresolute,ir,0,ir-resolute
hopelessness,less,0,hope-lessness
illegibly,il,0,il-legibly
indiscriminate,in,0,in-discriminate
undemonstrative,un,0,un-demonstrative
precedentedly,-,1,-
militarise,-,1,-
inadmissibility,in,0,in-admissibility
thoughtless,less,0,thought-less
unchivalrously,un,0,un-chivalrously
regretful,-,1,-
undiluted,un,0,un-diluted
mediate,-,1,-
inexperienced,in,0,in-experienced
providence,-,1,-
untie,un,0,un-tie
ethical,-,1,-
joyfully,-,1,-
unintelligibility,un,0,un-intelligibility
unquestionable,un,0,un-questionable
nonarbitrable,non,0,non-arbitrable
sectarian,-,1,-
vitalize,-,1,-
nonracial,non,0,non-racial
unrespectability,un,0,un-respectability
incurability,in,0,in-curability
wieldy,-,1,-
unlaced,un,0,un-laced
unsentimentally,un,0,un-sentimentally
parented,-,1,-
detected,-,1,-
unshaded,un,0,un-shaded
visible,-,1,-
sufficiency,-,1,-
outdoors,out,0,out-doors
mild,-,1,-
unhealthy,un,0,un-healthy
agitated,-,1,-
disadvantage,dis,0,dis-advantage
manly,-,1,-
coherently,-,1,-
nonprescription,non,0,non-prescription
nonobservance,non,0,non-observance
ill-advised,ill,0,ill--advised
earned,-,1,-
unconfined,un,0,un-confined
able,-,1,-
excited,-,1,-
unsuitability,un,0,un-suitability
bony,-,1,-
exculpatory,-,1,-
lawful,-,1,-
inefficiency,in,0,in-efficiency
scholarly,-,1,-
courteous,-,1,-
polished,-,1,-
euphoric,-,1,-
surmountable,-,1,-
unwooded,un,0,un-wooded
tempered,-,1,-
tuneless,less,0,tune-less
unfrozen,un,0,un-frozen
exhaustible,-,1,-
happily,-,1,-
sympathetic,-,1,-
unfair,un,0,un-fair
forgettable,-,1,-
unpatriotically,un,0,un-patriotically
decorum,-,1,-
unserviceable,un,0,un-serviceable
underived,un,0,un-derived
enterprising,-,1,-
downstairs,down,0,down-stairs
inadvertently,in,0,in-advertently
intended,-,1,-
unburden,un,0,un-burden
inconsistent,in,0,in-consistent
indestructibility,in,0,in-destructibility
unlighted,un,0,un-lighted
sanitariness,-,1,-
unmarried,un,0,un-married
lash,-,1,-
classification,-,1,-
columned,-,1,-
branchiate,-,1,-
skinned,-,1,-
licit,-,1,-
arrange,-,1,-
nonexempt,non,0,non-exempt
underachievement,under,0,under-achievement
incongruent,in,0,in-congruent
expendable,-,1,-
disarming,dis,0,dis-arming
unfavorably,un,0,un-favorably
nontoxic,non,0,non-toxic
clasp,-,1,-
unselfconsciously,un,0,un-selfconsciously
approachable,-,1,-
undesigned,un,0,un-designed
unloading,un,0,un-loading
incredible,in,0,in-credible
discouraging,dis,0,dis-couraging
constructive,-,1,-
unorganized,un,0,un-organized
petalous,-,1,-
incontestable,in,0,in-contestable
underexpose,under,0,under-expose
impermanence,im,0,im-permanence
uncrossed,un,0,un-crossed
lidless,less,0,lid-less
unexpired,un,0,un-expired
asyndetic,a,0,a-syndetic
unreported,un,0,un-reported
immorally,im,0,im-morally
nonresidential,non,0,non-residential
curious,-,1,-
eradicable,-,1,-
unamended,un,0,un-amended
ordered,-,1,-
mobilization,-,1,-
joyless,less,0,joy-less
easy,-,1,-
tearful,-,1,-
chromatic,-,1,-
nonfissionable,non,0,non-fissionable
unfashionable,un,0,un-fashionable
nonparticulate,non,0,non-particulate
outfield,out,0,out-field
implacable,im,0,im-placable
unframed,un,0,un-framed
unconventionally,un,0,un-conventionally
spirited,-,1,-
considerately,-,1,-
unloving,un,0,un-loving
elastic,-,1,-
orient,-,1,-
eager,-,1,-
displeasing,dis,0,dis-pleasing
outgo,out,0,out-go
unexcitingly,un,0,un-excitingly
non-market_economy,non,0,non--market_economy
uncivil,un,0,un-civil
territorial,-,1,-
discernible,-,1,-
irreversible,ir,0,ir-reversible
balance,-,1,-
incorrect,in,0,in-correct
insufficiently,in,0,in-sufficiently
dramatic,-,1,-
solvability,-,1,-
unbelt,un,0,un-belt
improved,-,1,-
decisive,-,1,-
immovability,im,0,im-movability
willingly,-,1,-
moonlit,-,1,-
feathered,-,1,-
synchronize,-,1,-
incorrupt,in,0,in-corrupt
unloved,un,0,un-loved
noneffervescent,non,0,non-effervescent
intelligent,-,1,-
sanity,-,1,-
mask,-,1,-
immodestly,im,0,im-modestly
civilly,-,1,-
unavailability,un,0,un-availability
intolerantly,in,0,in-tolerantly
irreversibility,ir,0,ir-reversibility
beaked,-,1,-
thoughtfully,-,1,-
incapable,in,0,in-capable
applicability,-,1,-
plausibility,-,1,-
significantly,-,1,-
uneasy,un,0,un-easy
unauthorized,un,0,un-authorized
inextricable,in,0,in-extricable
permissible,-,1,-
unarticulated,un,0,un-articulated
impermanent,im,0,im-permanent
unashamed,un,0,un-ashamed
movableness,-,1,-
witting,-,1,-
necessarily,-,1,-
criminalize,-,1,-
satisfactorily,-,1,-
unfixed,un,0,un-fixed
precedented,-,1,-
consecrate,-,1,-
secureness,-,1,-
uninstructive,un,0,un-instructive
unbuttoned,un,0,un-buttoned
good-natured,-,1,-
unintelligently,un,0,un-intelligently
destabilize,de,0,de-stabilize
noninstitutional,non,0,non-institutional
presidential,-,1,-
unobtrusive,un,0,un-obtrusive
undramatic,un,0,un-dramatic
disarmament,dis,0,dis-armament
righteous,-,1,-
auspiciously,-,1,-
controversial,-,1,-
seemliness,-,1,-
barreled,-,1,-
handleless,less,0,handle-less
nonpayment,non,0,non-payment
miscarry,mis,0,mis-carry
Anglican,-,1,-
altered,-,1,-
unwrinkled,un,0,un-wrinkled
unsnarl,un,0,un-snarl
unsealed,un,0,un-sealed
unbelievably,un,0,un-believably
adroit,-,1,-
ungulate,-,1,-
incorporeal,in,0,in-corporeal
unmilitary,un,0,un-military
unholiness,un,0,un-holiness
degrade,de,0,de-grade
unrealistically,un,0,un-realistically
unlawfully,un,0,un-lawfully
belief,-,1,-
unregulated,un,0,un-regulated
unbridle,un,0,un-bridle
animateness,-,1,-
underestimate,under,0,under-estimate
blemished,-,1,-
uneducated,un,0,un-educated
colonize,-,1,-
inclement,in,0,in-clement
uncommon,un,0,un-common
equally,-,1,-
acyclic,a,0,a-cyclic
orderly,-,1,-
disincarnate,dis,0,dis-incarnate
defensively,de,0,de-fensively
outgoing,out,0,out-going
disenfranchise,dis,0,dis-enfranchise
desensitize,de,0,de-sensitize
rustless,less,0,rust-less
discreetly,-,1,-
repute,-,1,-
unsinkable,un,0,un-sinkable
unconsciousness,un,0,un-consciousness
offstage,off,0,off-stage
unbaptized,un,0,un-baptized
geared,-,1,-
ungracefully,un,0,un-gracefully
discordant,dis,0,dis-cordant
unaware,un,0,un-aware
possibility,-,1,-
equivocalness,-,1,-
unthoughtfulness,un,0,un-thoughtfulness
breakable,-,1,-
inaudibly,in,0,in-audibly
acaulescent,a,0,a-caulescent
overact,-,1,-
compressibility,-,1,-
responsible,-,1,-
clement,-,1,-
accompanied,-,1,-
indefinite,in,0,in-definite
immigrate,im,0,im-migrate
prudently,-,1,-
inexact,in,0,in-exact
desecrated,de,0,de-secrated
deservedly,-,1,-
possibly,-,1,-
legalise,-,1,-
quietly,-,1,-
persuasiveness,-,1,-
sonic,-,1,-
unventilated,un,0,un-ventilated
lawfully,-,1,-
unmoved,un,0,un-moved
punctual,-,1,-
uninformed,un,0,un-informed
unafraid,un,0,un-afraid
popularity,-,1,-
fortunate,-,1,-
arranged,-,1,-
inadvisability,in,0,in-advisability
unaccommodating,un,0,un-accommodating
volatile_storage,-,1,-
unsettled,un,0,un-settled
construction,-,1,-
coil,-,1,-
weightless,less,0,weight-less
unequipped,un,0,un-equipped
isotonic,-,1,-
nonnative,non,0,non-native
insentience,in,0,in-sentience
unadoptable,un,0,un-adoptable
inexperience,in,0,in-experience
handled,-,1,-
hypotonic,hypo,0,hypo-tonic
conception,-,1,-
undefined,un,0,un-defined
publishable,-,1,-
inoffensive,in,0,in-offensive
adaptable,-,1,-
corporeal,-,1,-
accordant,-,1,-
original,-,1,-
symmetry,-,1,-
unrecoverable,un,0,un-recoverable
vulnerable,-,1,-
reconstructed,-,1,-
unwillingness,un,0,un-willingness
immodesty,im,0,im-modesty
indecorous,in,0,in-decorous
animated,-,1,-
clutter,-,1,-
emotional,-,1,-
unmoving,un,0,un-moving
omnivorous,-,1,-
prophetic,-,1,-
useless,less,0,use-less
nonsmoker,non,0,non-smoker
unsecured_bond,un,0,un-secured_bond
wigless,less,0,wig-less
unmask,un,0,un-mask
livable,-,1,-
fatal,-,1,-
godliness,-,1,-
uncorrected,un,0,un-corrected
responsibleness,-,1,-
adequacy,-,1,-
furnished,-,1,-
balanced,-,1,-
insentient,in,0,in-sentient
unprofitableness,un,0,un-profitableness
coastal,-,1,-
unconquerable,un,0,un-conquerable
tasteless,less,0,taste-less
trackless,less,0,track-less
uncoiled,un,0,un-coiled
debilitating,de,0,de-bilitating
bellyless,less,0,belly-less
inconsideration,in,0,in-consideration
lipless,less,0,lip-less
unlash,un,0,un-lash
censored,-,1,-
restrained,-,1,-
inadvisable,in,0,in-advisable
castrated,-,1,-
offshore,off,0,off-shore
nonconformism,non,0,non-conformism
grudgingly,-,1,-
conspicuously,-,1,-
unselfconsciousness,un,0,un-selfconsciousness
declared,-,1,-
disabling,dis,0,dis-abling
comprehensive,-,1,-
infrequently,in,0,in-frequently
fallibility,-,1,-
accustomed,-,1,-
nonextensile,non,0,non-extensile
ineradicable,in,0,in-eradicable
recoverable,-,1,-
unstaple,un,0,un-staple
unsure,un,0,un-sure
denitrify,de,0,de-nitrify
meaningfulness,-,1,-
harmony,-,1,-
discomposure,dis,0,dis-composure
commensurate,-,1,-
mediacy,-,1,-
discontented,dis,0,dis-contented
agreement,-,1,-
unrighteousness,un,0,un-righteousness
demerit,de,0,de-merit
subhuman,sub,0,sub-human
discomfort,dis,0,dis-comfort
inseparably,in,0,in-separably
nonsyllabic,non,0,non-syllabic
inelegant,in,0,in-elegant
defeasible,-,1,-
indirectly,in,0,in-directly
consistent,-,1,-
wooded,-,1,-
happiness,-,1,-
illogicality,il,0,il-logicality
improper,im,0,im-proper
exact,-,1,-
unexpectedness,un,0,un-expectedness
disoblige,dis,0,dis-oblige
civility,-,1,-
unspell,un,0,un-spell
inequality,in,0,in-equality
nonbiodegradable_pollution,non,0,non-biodegradable_pollution
bottomless,less,0,bottom-less
unrelatedness,un,0,un-relatedness
embarrassment,-,1,-
discontent,dis,0,dis-content
carry_to_term,-,1,-
unpredictable,un,0,un-predictable
plowed,-,1,-
materialise,-,1,-
perfect,-,1,-
unequivocalness,un,0,un-equivocalness
injectable,-,1,-
outspan,out,0,out-span
benignancy,-,1,-
unpopularity,un,0,un-popularity
offending,-,1,-
nationalize,-,1,-
leavened,-,1,-
civilized,-,1,-
inauspicious,in,0,in-auspicious
servile,-,1,-
involuntary,in,0,in-voluntary
sensitizing,-,1,-
attentive,-,1,-
uninviting,un,0,un-inviting
achondritic,a,0,a-chondritic
incapableness,in,0,in-capableness
fruitlessness,less,0,fruit-lessness
unrestrained,un,0,un-restrained
selected,-,1,-
stimulating,-,1,-
faithfulness,-,1,-
uninteresting,un,0,un-interesting
dishonor,dis,0,dis-honor
unproductiveness,un,0,un-productiveness
unreconstructed,un,0,un-reconstructed
justly,-,1,-
warily,-,1,-
worthlessness,less,0,worth-lessness
nonstandard,non,0,non-standard
decelerate,de,0,de-celerate
skilled,-,1,-
saturated,-,1,-
analyzed,-,1,-
representational,-,1,-
integrative,-,1,-
enforceable,-,1,-
unappreciatively,un,0,un-appreciatively
pointedness,-,1,-
intangibility,in,0,in-tangibility
unestablished,un,0,un-established
irrationally,ir,0,ir-rationally
linear,-,1,-
understatement,under,0,under-statement
passionate,-,1,-
unattractiveness,un,0,un-attractiveness
malevolently,mal,0,mal-evolently
comfortably,-,1,-
balconied,-,1,-
holy,-,1,-
reverence,-,1,-
increase,-,1,-
septic,-,1,-
inconsiderately,in,0,in-considerately
unlikeliness,un,0,un-likeliness
unpunctual,un,0,un-punctual
intolerably,in,0,in-tolerably
detachable,de,0,de-tachable
untraceable,un,0,un-traceable
immortality,im,0,im-mortality
causative,-,1,-
analphabetic,an,0,an-alphabetic
organically,-,1,-
tapped,-,1,-
branded,-,1,-
asynchronous,a,0,a-synchronous
unsalable,un,0,un-salable
malignity,mal,0,mal-ignity
indecision,in,0,in-decision
rigid,-,1,-
fidelity,-,1,-
criminalisation,-,1,-
inconspicuousness,in,0,in-conspicuousness
unalterable,un,0,un-alterable
inexpediency,in,0,in-expediency
deflation,de,0,de-flation
incoherence,in,0,in-coherence
disagreeableness,dis,0,dis-agreeableness
nonprehensile,non,0,non-prehensile
inculpatory,in,0,in-culpatory
palpability,-,1,-
nonalcoholic,non,0,non-alcoholic
moderately,-,1,-
solvent,-,1,-
leaded_gasoline,-,1,-
obligated,-,1,-
unsociably,un,0,un-sociably
insanely,in,0,in-sanely
ionic,-,1,-
incomprehensible,in,0,in-comprehensible
uncomfortably,un,0,un-comfortably
mindfully,-,1,-
funded,-,1,-
limbed,-,1,-
insensibility,in,0,in-sensibility
nonexploratory,non,0,non-exploratory
insalubrity,in,0,in-salubrity
grassy,-,1,-
disengage,dis,0,dis-engage
unostentatious,un,0,un-ostentatious
involuntarily,in,0,in-voluntarily
made,-,1,-
unconsummated,un,0,un-consummated
bordered,-,1,-
unswept,un,0,un-swept
normal,-,1,-
unfunded,un,0,un-funded
infelicity,in,0,in-felicity
counterfactuality,counter,0,counter-factuality
unwrap,un,0,un-wrap
destabilisation,de,0,de-stabilisation
deconcentrate,de,0,de-concentrate
hypertonic,hyper,0,hyper-tonic
malign,mal,0,mal-ign
unwearable,un,0,un-wearable
unbelievingly,un,0,un-believingly
illiterate,il,0,il-literate
nonvolatile,non,0,non-volatile
bedded,-,1,-
voluntarily,-,1,-
offense,-,1,-
incoherent,in,0,in-coherent
comprehensively,-,1,-
unhitch,un,0,un-hitch
personalize,-,1,-
licitly,-,1,-
incurableness,in,0,in-curableness
impermissible,im,0,im-permissible
expired,-,1,-
protective,-,1,-
competence,-,1,-
asexual,a,0,a-sexual
indeterminate,in,0,in-determinate
nonsubmersible,non,0,non-submersible
inoperative,in,0,in-operative
unappealingly,un,0,un-appealingly
inclination,-,1,-
disadvantageously,dis,0,dis-advantageously
desirous,-,1,-
controlled,-,1,-
faceted,-,1,-
button,-,1,-
unready,un,0,un-ready
competently,-,1,-
excommunicate,ex,0,ex-communicate
nonechoic,non,0,non-echoic
unplayable,un,0,un-playable
naturally,-,1,-
unowned,un,0,un-owned
financial,-,1,-
unambiguously,un,0,un-ambiguously
unwomanly,un,0,un-womanly
unplug,un,0,un-plug
unwholesomeness,un,0,un-wholesomeness
proportionate,-,1,-
random,-,1,-
alert,-,1,-
unmotorized,un,0,un-motorized
irreplaceable,ir,0,ir-replaceable
morally,-,1,-
vascular,-,1,-
ungrudgingly,un,0,un-grudgingly
categoreme,-,1,-
undynamic,un,0,un-dynamic
guided,-,1,-
cheerlessness,less,0,cheer-lessness
unhesitatingly,un,0,un-hesitatingly
benignity,-,1,-
sincerity,-,1,-
finitely,-,1,-
imprudently,im,0,im-prudently
conformity,-,1,-
utopia,-,1,-
enlightenment,-,1,-
inappropriate,in,0,in-appropriate
proper,-,1,-
unify,-,1,-
infectious,-,1,-
discouragingly,dis,0,dis-couragingly
continue,-,1,-
development,-,1,-
naturalize,-,1,-
composed,-,1,-
noncompetitive,non,0,non-competitive
expensiveness,-,1,-
unsigned,un,0,un-signed
aware,-,1,-
unappetizing,un,0,un-appetizing
inelegantly,in,0,in-elegantly
imitative,-,1,-
stability,-,1,-
unenterprising,un,0,un-enterprising
existence,-,1,-
disassembly,dis,0,dis-assembly
sensitively,-,1,-
illicitness,il,0,il-licitness
decontamination,de,0,de-contamination
unwarily,un,0,un-warily
unreasonably,un,0,un-reasonably
undatable,un,0,un-datable
unfavorable,un,0,un-favorable
demanding,-,1,-
aesthetic,-,1,-
inadequate,in,0,in-adequate
stuck,-,1,-
informed,-,1,-
ingenuousness,-,1,-
nonmechanical,non,0,non-mechanical
indiscernible,in,0,in-discernible
discouragement,dis,0,dis-couragement
unmelted,un,0,un-melted
unlikeness,un,0,un-likeness
mythologize,-,1,-
informally,in,0,in-formally
unintrusive,un,0,un-intrusive
decolonize,de,0,de-colonize
critically,-,1,-
surgical,-,1,-
subtraction,sub,0,sub-traction
unattached,un,0,un-attached
destructible,-,1,-
conclusive,-,1,-
indispensability,in,0,in-dispensability
offensively,-,1,-
dependableness,-,1,-
monotonic,-,1,-
unwrapped,un,0,un-wrapped
equivalence,-,1,-
decreased,de,0,de-creased
kindly,-,1,-
commodious,-,1,-
illegal,il,0,il-legal
holistic,-,1,-
pressurize,-,1,-
unironed,un,0,un-ironed
satisfactoriness,-,1,-
modern,-,1,-
fearfulness,-,1,-
instability,in,0,in-stability
noncitizen,non,0,non-citizen
astigmatism,a,0,a-stigmatism
exchangeable,-,1,-
opportune,-,1,-
intolerant,in,0,in-tolerant
include,-,1,-
purposeless,less,0,purpose-less
anticatalyst,anti,0,anti-catalyst
nonconductive,non,0,non-conductive
weedless,less,0,weed-less
assertively,-,1,-
cyclic,-,1,-
disinclination,dis,0,dis-inclination
maladroit,mal,0,mal-adroit
coordination,-,1,-
owned,-,1,-
scripted,-,1,-
native,-,1,-
indeterminable,in,0,in-determinable
skillfulness,-,1,-
unkindness,un,0,un-kindness
actinal,-,1,-
paid,-,1,-
popular,-,1,-
syllabic,-,1,-
syncategorematic,syn,0,syn-categorematic
elate,-,1,-
conclusively,-,1,-
unrepentant,un,0,un-repentant
finite,-,1,-
immiscible,im,0,im-miscible
intemperate,in,0,in-temperate
unconvincing,un,0,un-convincing
unrighteous,un,0,un-righteous
unarmed,un,0,un-armed
incongruousness,in,0,in-congruousness
domestic,-,1,-
purposelessness,less,0,purpose-lessness
hitch,-,1,-
oriented,-,1,-
advisability,-,1,-
incognizance,in,0,in-cognizance
wigged,-,1,-
similarity,-,1,-
exactness,-,1,-
fruitfully,-,1,-
hypertonia,-,1,-
uneventful,un,0,un-eventful
unsexy,un,0,un-sexy
interference,-,1,-
demotion,de,0,de-motion
undock,un,0,un-dock
unhook,un,0,un-hook
likeliness,-,1,-
uncongenial,un,0,un-congenial
astomatous,a,0,a-stomatous
friendly,-,1,-
sensitivity,-,1,-
inopportune,in,0,in-opportune
nonrigid,non,0,non-rigid
conductor,-,1,-
resolutely,-,1,-
footed,-,1,-
nontaxable,non,0,non-taxable
coated,-,1,-
religious,-,1,-
proved,-,1,-
approve,-,1,-
unsolvability,un,0,un-solvability
nonabsorbent,non,0,non-absorbent
accurately,-,1,-
invertible,-,1,-
personally,-,1,-
appositeness,-,1,-
unimpaired,un,0,un-impaired
inspan,-,1,-
nonporous,non,0,non-porous
bedless,less,0,bed-less
energise,-,1,-
claim,-,1,-
edifying,-,1,-
disloyal,dis,0,dis-loyal
congeniality,-,1,-
thoughtfulness,-,1,-
unjustifiably,un,0,un-justifiably
